,Voting,Jury,Govt_Politics,American_Flag,US_Census,Pledge,Military Support,Respecting_Others,Believing in God,Protesting,Racism_US,Racism_Policing,Society_Whole,Mainstream_Media,Way_People_Talk,Q3_6,educ,race,gender,income_cat,voter_category,age_binned
1653,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Some college,White,Female,$125k or more,sporadic,66-94
1654,Very Important,Very Important,Somewhat important,Not so important,Somewhat important,Somewhat important,Not so important,Not so important,Very Important,Somewhat important,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,High school or less,White,Female,$75-125k,rarely/never,22-36
1655,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not so important,Not so important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Some college,White,Female,Less than $40k,rarely/never,37-54
1656,Somewhat important,Not so important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Not so important,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Some college,Other/Mixed,Male,$40-75k,rarely/never,22-36
1657,Somewhat important,Somewhat important,Not so important,Not at all important,Somewhat important,Not so important,Somewhat important,Somewhat important,Not at all important,Very Important,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,High school or less,White,Female,$75-125k,rarely/never,22-36
1658,Very Important,Somewhat important,Not so important,Not so important,Very Important,Not so important,Not so important,Somewhat important,Not so important,Somewhat important,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,College,White,Male,$125k or more,sporadic,22-36
1659,Very Important,Somewhat important,Very Important,Not at all important,Very Important,Not at all important,Not at all important,Not so important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,College,White,Male,$125k or more,rarely/never,22-36
1660,Very Important,Very Important,Not so important,Not so important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Some college,Black,Male,$40-75k,sporadic,37-54
1661,Very Important,Very Important,Very Important,Not so important,Very Important,Not at all important,Very Important,Very Important,Not so important,Somewhat important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,High school or less,White,Male,$40-75k,sporadic,66-94
1662,Not at all important,Not at all important,Not at all important,Not so important,Not so important,Not so important,Not so important,Not so important,Not at all important,Not at all important,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Some college,White,Male,Less than $40k,rarely/never,37-54
1663,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,High school or less,White,Male,$75-125k,rarely/never,22-36
1664,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Some college,White,Male,$75-125k,sporadic,37-54
1665,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,High school or less,White,Female,Less than $40k,always,66-94
1666,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not at all important,Very Important,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,College,White,Male,$75-125k,always,37-54
1667,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Not at all important,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Some college,White,Female,$40-75k,sporadic,55-65
1668,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Not so important,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,High school or less,White,Female,$125k or more,always,66-94
1669,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Not so important,Somewhat important,Somewhat important,Somewhat important,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,College,Other/Mixed,Male,Less than $40k,rarely/never,22-36
1670,Very Important,Very Important,Very Important,Not so important,Very Important,Not so important,Very Important,Very Important,Very Important,Not so important,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,College,Black,Female,$75-125k,always,37-54
1672,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Some college,White,Female,$40-75k,sporadic,22-36
1673,Not at all important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Some college,White,Female,$75-125k,always,66-94
1674,Very Important,Somewhat important,Very Important,Not so important,Very Important,Not so important,Not so important,Very Important,Somewhat important,Not at all important,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,High school or less,White,Male,$125k or more,always,37-54
1675,Very Important,Very Important,Somewhat important,Not so important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,College,White,Male,$125k or more,always,37-54
1676,Very Important,Very Important,Somewhat important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Not at all important,Not so important,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,College,White,Female,$40-75k,sporadic,37-54
1677,Somewhat important,Not so important,Not so important,Not so important,Somewhat important,Not at all important,Not so important,Not so important,Not so important,Not so important,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,High school or less,Hispanic,Female,$75-125k,sporadic,22-36
1678,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,College,White,Female,$125k or more,sporadic,22-36
1679,Very Important,Somewhat important,Somewhat important,Not at all important,Very Important,Not so important,Not so important,Somewhat important,Not at all important,Somewhat important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,College,White,Male,$125k or more,rarely/never,22-36
1680,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Not so important,Somewhat important,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Some college,White,Female,$40-75k,rarely/never,22-36
1681,Somewhat important,Somewhat important,Somewhat important,Not so important,Somewhat important,Not so important,Somewhat important,Very Important,Very Important,Somewhat important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Some college,Black,Female,Less than $40k,sporadic,22-36
1682,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,College,White,Male,$75-125k,sporadic,22-36
1683,Very Important,Very Important,Somewhat important,Not so important,Very Important,Not so important,Not so important,Somewhat important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Some college,Black,Male,$40-75k,always,22-36
1684,Very Important,Somewhat important,Very Important,Not at all important,Very Important,Somewhat important,Very Important,Very Important,Not at all important,Somewhat important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,College,White,Male,$125k or more,sporadic,22-36
1685,Somewhat important,Not so important,Somewhat important,Not so important,Very Important,Very Important,Not at all important,Very Important,Very Important,Somewhat important,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,High school or less,Hispanic,Female,$40-75k,rarely/never,37-54
1686,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Not so important,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,College,Other/Mixed,Male,$75-125k,rarely/never,22-36
1687,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Some college,White,Female,$125k or more,sporadic,66-94
1688,Very Important,Somewhat important,Very Important,Not so important,Very Important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,College,White,Female,$125k or more,always,22-36
1689,Very Important,Not at all important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Very Important,Not at all important,Not at all important,Not at all important,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,High school or less,White,Male,$40-75k,sporadic,22-36
1692,Somewhat important,Not so important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not so important,Very Important,Not so important,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,High school or less,White,Male,$40-75k,rarely/never,22-36
1693,Very Important,Not so important,Somewhat important,Not at all important,Somewhat important,Not so important,Not so important,Somewhat important,Not at all important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,High school or less,Black,Male,Less than $40k,sporadic,22-36
1694,Very Important,Not so important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Not so important,Very Important,Somewhat important,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,College,White,Male,$40-75k,sporadic,22-36
1695,Somewhat important,Somewhat important,Not so important,Not so important,Somewhat important,Not so important,Somewhat important,Not so important,Somewhat important,Somewhat important,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,High school or less,Hispanic,Male,$125k or more,rarely/never,22-36
1696,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,College,White,Female,$40-75k,always,66-94
1697,Very Important,Somewhat important,Somewhat important,Not at all important,Very Important,Somewhat important,Not so important,Very Important,Not at all important,Not so important,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,College,Other/Mixed,Female,$125k or more,sporadic,22-36
1698,Very Important,Very Important,Somewhat important,Not at all important,Somewhat important,Not so important,Somewhat important,Somewhat important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,College,White,Female,$125k or more,sporadic,22-36
1699,Very Important,Somewhat important,Somewhat important,Not so important,Very Important,Not so important,Somewhat important,Somewhat important,Not so important,Very Important,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,College,Other/Mixed,Male,$125k or more,sporadic,22-36
1700,Not so important,Not so important,Not so important,Very Important,Not so important,Somewhat important,Very Important,Very Important,Not so important,Not so important,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,High school or less,White,Female,Less than $40k,rarely/never,37-54
1701,Very Important,Very Important,Somewhat important,Not so important,Very Important,Not so important,Somewhat important,Somewhat important,Not so important,Somewhat important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,College,White,Female,$75-125k,sporadic,22-36
1702,Very Important,Somewhat important,Somewhat important,Not so important,Very Important,Not so important,Not so important,Very Important,Not so important,Somewhat important,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,College,White,Male,$75-125k,sporadic,66-94
1703,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Not so important,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,White,Female,$40-75k,always,66-94
1704,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,High school or less,White,Male,$40-75k,sporadic,37-54
1705,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Some college,White,Male,$125k or more,sporadic,66-94
1706,Very Important,Somewhat important,Very Important,Not so important,Very Important,Not so important,Very Important,Very Important,Very Important,Very Important,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,High school or less,Black,Male,Less than $40k,sporadic,55-65
1707,Very Important,Not so important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,High school or less,Hispanic,Female,$40-75k,rarely/never,55-65
1708,Somewhat important,Somewhat important,Not so important,Not so important,Very Important,Not so important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Some college,White,Female,$40-75k,rarely/never,37-54
1709,Very Important,Somewhat important,Somewhat important,Not so important,Very Important,Somewhat important,Somewhat important,Somewhat important,Not so important,Somewhat important,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Some college,White,Female,$40-75k,always,55-65
1710,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Not so important,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,College,Hispanic,Female,$125k or more,always,55-65
1711,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,College,Black,Male,$125k or more,sporadic,37-54
1712,Somewhat important,Very Important,Not so important,Not so important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,High school or less,White,Male,$75-125k,sporadic,66-94
1713,Very Important,Not so important,Somewhat important,Not so important,Not so important,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,High school or less,Hispanic,Male,$125k or more,sporadic,37-54
1714,Very Important,Very Important,Somewhat important,Not so important,Very Important,Not so important,Somewhat important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,College,White,Female,$75-125k,sporadic,37-54
1715,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Not so important,Not so important,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Some college,White,Female,$75-125k,sporadic,37-54
1716,Very Important,Very Important,Somewhat important,Not so important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,College,White,Female,$125k or more,sporadic,22-36
1717,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,High school or less,White,Male,Less than $40k,sporadic,37-54
1719,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,High school or less,White,Male,$75-125k,rarely/never,66-94
1720,Somewhat important,Very Important,Somewhat important,Not so important,Very Important,Not so important,Very Important,Somewhat important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,High school or less,White,Male,Less than $40k,rarely/never,22-36
1721,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,High school or less,White,Female,Less than $40k,sporadic,66-94
1722,Not at all important,Not so important,Somewhat important,Not at all important,Somewhat important,Not at all important,Not at all important,Somewhat important,Not at all important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,College,Black,Female,$125k or more,rarely/never,37-54
1723,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Some college,Black,Female,$75-125k,always,55-65
1724,Very Important,Very Important,Somewhat important,Not so important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Not so important,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,College,White,Female,$75-125k,always,66-94
1725,Not so important,Somewhat important,Somewhat important,Not at all important,Very Important,Very Important,Somewhat important,Very Important,Not so important,Not so important,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Some college,Black,Female,$40-75k,rarely/never,22-36
1726,Very Important,Very Important,Not so important,Not so important,Very Important,Very Important,Somewhat important,Somewhat important,Not so important,Not at all important,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,College,White,Female,$125k or more,sporadic,55-65
1727,Very Important,Not so important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,High school or less,Black,Female,$40-75k,sporadic,66-94
1728,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,College,White,Female,$75-125k,rarely/never,22-36
1729,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,College,White,Female,$125k or more,sporadic,37-54
1730,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Some college,White,Male,Less than $40k,always,37-54
1732,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,High school or less,White,Male,$75-125k,rarely/never,55-65
1734,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,College,White,Female,$40-75k,always,22-36
1735,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Some college,White,Female,Less than $40k,always,66-94
1736,Very Important,Somewhat important,Very Important,Not so important,Very Important,Not so important,Very Important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,College,White,Male,$125k or more,rarely/never,66-94
1737,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,College,White,Male,$125k or more,sporadic,22-36
1738,Very Important,Somewhat important,Very Important,Not so important,Very Important,Not so important,Very Important,Very Important,Not so important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Some college,White,Male,$40-75k,sporadic,37-54
1739,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Some college,Hispanic,Male,$40-75k,sporadic,22-36
1740,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,High school or less,Hispanic,Female,$125k or more,sporadic,37-54
1741,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Not so important,Very Important,Very Important,Not so important,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Some college,Hispanic,Female,$75-125k,sporadic,55-65
1742,Not at all important,Not at all important,Not at all important,Not so important,Not at all important,Somewhat important,Not so important,Not at all important,Very Important,Not at all important,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,White,Female,Less than $40k,rarely/never,22-36
1743,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,College,White,Male,$40-75k,always,66-94
1744,Very Important,Very Important,Somewhat important,Not so important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Some college,Black,Female,$75-125k,always,55-65
1745,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Very Important,Somewhat important,Not so important,Somewhat important,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Some college,White,Female,$40-75k,always,55-65
1746,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,College,White,Male,$125k or more,sporadic,22-36
1747,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,High school or less,White,Female,$75-125k,always,66-94
1748,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,College,White,Female,$75-125k,always,37-54
1749,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Some college,White,Female,$75-125k,always,66-94
1750,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Not so important,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,College,White,Female,Less than $40k,sporadic,66-94
1752,Very Important,Very Important,Not so important,Not so important,Very Important,Very Important,Very Important,Somewhat important,Not at all important,Not at all important,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,College,Other/Mixed,Male,$75-125k,always,37-54
1753,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Not at all important,Very Important,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,College,White,Female,$40-75k,sporadic,66-94
1754,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,High school or less,White,Male,$40-75k,rarely/never,22-36
1755,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Some college,White,Male,$125k or more,rarely/never,37-54
1756,Not so important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Some college,Black,Male,$75-125k,rarely/never,55-65
1757,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Not so important,Not so important,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,College,White,Female,$40-75k,rarely/never,66-94
1758,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,College,White,Male,$40-75k,sporadic,37-54
1759,Very Important,Very Important,Very Important,Not at all important,Very Important,Very Important,Very Important,Very Important,Not at all important,Very Important,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,College,White,Female,$75-125k,always,66-94
1760,Somewhat important,Very Important,Very Important,Not so important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Not so important,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,College,White,Female,$75-125k,rarely/never,22-36
1761,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Not so important,Somewhat important,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Some college,White,Female,$75-125k,rarely/never,66-94
1762,Very Important,Somewhat important,Somewhat important,Not at all important,Very Important,Not so important,Not so important,Somewhat important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,High school or less,White,Male,Less than $40k,always,22-36
1763,Very Important,Somewhat important,Somewhat important,Not so important,Very Important,Not so important,Somewhat important,Very Important,Not at all important,Somewhat important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,College,Hispanic,Male,$75-125k,sporadic,37-54
1765,Very Important,Not so important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Not so important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,High school or less,White,Male,$75-125k,rarely/never,55-65
