,Voting,Jury,Govt_Politics,American_Flag,US_Census,Pledge,Military Support,Respecting_Others,Believing in God,Protesting,Racism_US,Racism_Policing,Society_Whole,Mainstream_Media,Way_People_Talk,Q3_6,educ,race,gender,income_cat,voter_category,age_binned
26,Somewhat important,Somewhat important,Somewhat important,Not so important,Very Important,Not so important,Somewhat important,Somewhat important,Very Important,Not so important,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,High school or less,Black,Female,Less than $40k,rarely/never,37-54
27,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Not so important,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Some college,White,Female,$75-125k,sporadic,66-94
29,Very Important,Very Important,Very Important,Not so important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,High school or less,White,Female,Less than $40k,always,66-94
30,Very Important,Somewhat important,Somewhat important,Not so important,Very Important,Not so important,Not so important,Somewhat important,Not at all important,Not so important,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,College,White,Male,$125k or more,always,37-54
31,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Not so important,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Some college,White,Male,$40-75k,always,37-54
32,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Some college,Hispanic,Male,$40-75k,rarely/never,37-54
33,Somewhat important,Very Important,Somewhat important,Not so important,Very Important,Not so important,Very Important,Very Important,Somewhat important,Very Important,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,College,White,Male,$75-125k,always,66-94
34,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Not so important,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,High school or less,White,Male,$40-75k,sporadic,66-94
35,Very Important,Very Important,Very Important,Not at all important,Very Important,Not so important,Not so important,Somewhat important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,High school or less,Other/Mixed,Male,$75-125k,sporadic,55-65
37,Somewhat important,Not so important,Not so important,Not so important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,White,Female,$75-125k,sporadic,55-65
39,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Some college,Black,Male,$40-75k,sporadic,55-65
40,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Not so important,Not at all important,Somewhat important,Very Important,Very Important,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,High school or less,White,Male,$40-75k,rarely/never,37-54
41,Somewhat important,Very Important,Not so important,Not at all important,Very Important,Not at all important,Somewhat important,Somewhat important,Very Important,Somewhat important,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Some college,Other/Mixed,Female,$75-125k,sporadic,55-65
42,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Some college,White,Male,$125k or more,always,66-94
43,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Not at all important,Very Important,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,College,White,Female,$125k or more,always,55-65
44,Very Important,Somewhat important,Very Important,Very Important,Not so important,Somewhat important,Somewhat important,Not so important,Very Important,Very Important,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,College,White,Male,$40-75k,always,55-65
45,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not at all important,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Some college,White,Female,$40-75k,always,66-94
46,Very Important,Very Important,Very Important,Not at all important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Some college,White,Female,$40-75k,always,66-94
47,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Some college,Black,Female,$40-75k,always,55-65
48,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Not so important,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,College,White,Male,$75-125k,always,66-94
49,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Some college,White,Female,$75-125k,always,66-94
50,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not so important,Somewhat important,Somewhat important,Somewhat important,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,High school or less,White,Male,Less than $40k,sporadic,55-65
51,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Some college,White,Male,$125k or more,sporadic,55-65
52,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,College,Other/Mixed,Female,$75-125k,always,37-54
53,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Some college,White,Female,$40-75k,sporadic,66-94
54,Very Important,Very Important,Somewhat important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,College,White,Female,$125k or more,sporadic,37-54
55,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Not so important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,College,White,Female,$40-75k,always,22-36
56,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Not at all important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,High school or less,White,Male,$40-75k,sporadic,37-54
57,Very Important,Not so important,Somewhat important,Not so important,Very Important,Very Important,Very Important,Very Important,Not so important,Not so important,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,College,White,Female,$75-125k,always,55-65
58,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,High school or less,White,Female,$40-75k,always,66-94
59,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,College,White,Female,$75-125k,always,37-54
60,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,White,Female,$75-125k,rarely/never,55-65
61,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not at all important,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Some college,White,Female,$125k or more,always,66-94
